47498628 	56143133 	64960226 	69927749 	67797746 	75658018 	92934652 	95792820 	103967752 	114664218 	117795746 	127465698 	138044246 	161459124 	167305992 	164541586 	177718351 	192381241 	203014925 	201906459 	 322187377 
38449032 	43551473 	49202309 	52153147 	51237792 	56393091 	71106081 	74027342 	82225916 	92231159 	95276356 	104427868 	113879497 	132508138 	136556310 	136476881 	143506090 	159601755 	169771343 	168845809 	 174111888 
11207767 	13618190 	14766882 	14867893 	17194021 	15854601 	17508873 	18662955 	19160496 	20787302 	23434004 	24650520 	31004340 	38855971 	36355129 	34423256 	37461850 	42287703 	45766953 	48383352 	 54101721 
7387568 	8662631 	9356104 	9424669 	10775797 	9365392 	17878435 	16975148 	19243149 	25632684 	24678343 	29805494 	29362222 	35417342 	39154491 	35251404 	37268222 	44872821 	45931750 	43854825 	 42650317 
523570 	605644 	565773 	604660 	309488 	480670 	448711 	429955 	397819 	485302 	588328 	701964 	867649 	1058963 	1181718 	1220673 	1202808 	1258637 	1718540 	1586535 	 1696147 
383850 	423730 	400757 	556487 	370143 	420506 	540162 	518437 	458344 	829756 	1119918 	1170863 	1521643 	1782954 	1595343 	1209640 	1873336 	2074062 	2301983 	2703224 	 2929099 
19645246 	23427270 	25319879 	25620082 	29111751 	27138489 	36913454 	36759871 	39261693 	47734645 	49806922 	56327171 	62794317 	77115234 	78286681 	72104973 	77806219 	90493289 	95719226 	96527936 	101377284 
13057973 	14636893 	16789539 	19487991 	15706805 	20369037 	23212042 	25834726 	31608756 	33447038 	34571755 	36118641 	38092857 	40941908 	43819769 	46991507 	49121210 	51906874 	55667634 	55962553 	 57138799 
2445573 	2617110 	3119253 	3036442 	2211453 	2713271 	2984560 	3633613 	4288222 	4732985 	4574032 	4399528 	4903453 	5161140 	4499380 	3642025 	5065791 	5537255 	5335516 	5484283 	 5624103 
1545787 	1824513 	2083863 	1789791 	1814408 	2077975 	1962493 	2468163 	2655001 	2726181 	2588795 	2595099 	2405598 	2262282 	2829350 	2764092 	2878235 	2529303 	2998922 	2946973 	 2851961 
684030 	502636 	289573 	261872 	242494 	1353726 	2735942 	1797919 	2035805 	1606461 	1301580 	2370525 	2525685 	3468795 	2787538 	3533932 	3667144 	4278696 	3680579 	3077101 	 3121044 
275300 	319829 	355970 	390105 	303533 	370929 	387560 	476559 	482179 	456513 	435828 	499962 	587901 	587969 	572888 	543700 	521915 	623948 	601439 	636558 	 726297 
18467359 	20444032 	23299210 	25754825 	21200580 	28076352 	32740773 	35557175 	41087808 	42970539 	43472571 	45983456 	48516036 	52422120 	54508941 	57475271 	61254297 	64876080 	68284090 	68107468 	69462204 
336427 	510691 	583220 	778240 	925461 	1178250 	1451854 	1710296 	1876415 	1525975 	1996863 	2117241 	2569144 	2970784 	3760688 	6896637 	4445574 	4232386 	5768027 	4774121 	 4048903 
2457167 	3371752 	4823970 	5547122 	6503963 	7255658 	8403613 	10534875 	9479279 	10000473 	10065117 	10287765 	9593771 	11463503 	11909295 	10092007 	13970114 	11545953 	13809143 	13247770 	 13344027 
76696 	63137 	14288 	-8464 	1423 	1646 	-2939 	-930 	807 	2256 	57119 	-8551 	838 	333 	323 	197 	483 	240 	364 	-59212 	 247 
2776458 	3192212 	4124161 	5398530 	5203132 	5296941 	5798300 	3782502 	3531576 	3651326 	3529521 	3526592 	3424545 	3861189 	4179572 	3754232 	4645009 	4246430 	4635879 	4510891 	 4606780 
290388 	1331348 	1486028 	1039797 	1015444 	2023385 	1829876 	1525650 	2128893 	1931665 	2071143 	2473008 	2959664 	3800942 	3754938 	3842039 	3901437 	4894858 	3851346 	3575289 	 3332412 
 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	 0 	441328 	1327511 	2414256 	2129863 	1207102 	1028932 	1101864 	1131106 	1224321 	 1307211 
3448887 	4633211 	5309471 	5797617 	3835992 	4687298 	5799720 	5923381 	6601282 	6847339 	6796491 	6317690 	6858419 	7410763 	8775691 	9169127 	10666286 	10990142 	9815744 	10561589 	8720981
